Año,Posición relativa
2024,56.07
2023,62.16
2022,62.14
2021,55.66
2020,53.85
2019,48.65
2018,36.79
2017,48.18
2016,61.11
2015,57.28
2014,63.0
2013,59.38
2012,48.48
2011,58.0
2010,59.57
2009,55.34
2008,48.96
2007,38.04
2006,67.42
2005,54.44
2004,35.71
2003,18.52
2002,28.92
2001,31.71
2000,51.85
