Año,Posición relativa
2024,87.85
2023,95.5
2022,93.2
2021,77.36
2020,83.65
2019,89.19
2018,88.68
2017,95.45
2016,91.67
2015,79.61
2014,96.0
2013,89.58
2012,83.84
2011,89.0
2010,93.62
2009,99.03
2008,89.58
2007,94.57
2006,93.26
2005,92.22
2004,91.67
2003,90.12
2002,81.93
2001,85.37
2000,82.72
