Año,Posición relativa
2024,92.52
2023,72.07
2022,89.32
2021,88.68
2020,95.19
2019,91.89
2018,92.45
2017,80.91
2016,62.04
2015,84.47
2014,75.0
2013,54.17
2012,82.83
2011,86.0
2010,75.53
2009,76.7
2008,87.5
2007,81.52
2006,88.76
2005,71.11
2004,82.14
2003,74.07
2002,75.9
2001,78.05
2000,61.73
